Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,7.25,False,False,False,False,False,False,10
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,7.47,False,True,True,False,True,True,8
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,5.81,False,True,True,False,True,True,9
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,2.6,False,True,True,False,True,True,11
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,143.0,5.0,17.22,False,False,False,False,False,False,10
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,3.7,False,False,True,False,False,True,11
142,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,5.43,False,True,True,False,True,True,9
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,4.75,False,False,True,False,False,True,12
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,9.9,False,True,True,False,True,True,7
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,26.5,False,False,False,False,False,False,11
151,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,74.0,5.0,6.25,False,False,True,False,False,True,9
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,9.86,False,False,False,False,False,False,9
155,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,4.23,False,True,True,False,True,True,6
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,3.5,False,False,True,False,False,True,13
157,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,2.5,False,True,True,False,True,True,9
160,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,7.11,False,False,True,False,False,True,10
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,6.2,False,True,True,False,True,True,8
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,4.42,False,False,True,False,False,True,11
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,6.25,False,False,False,False,False,False,12
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197.0,78.9,5.0,2.75,False,True,True,False,True,True,12
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396.0,88.73,5.0,8.35,False,False,True,False,False,True,11
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936.0,57.6,5.0,1.5,False,False,True,False,False,True,13
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995.0,190.0,5.0,33.5,False,False,False,False,False,False,11
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199.0,73.9,5.0,4.2,False,False,True,False,False,True,13
187,Maruti Baleno Alpha,Kochi,2017,24773,First,21.4,1197.0,83.1,5.0,7.5,False,True,True,False,True,True,8
188,Hyundai Verna 1.6 SX,Delhi,2012,62000,First,22.32,1582.0,126.32,5.0,4.6,False,False,True,False,False,True,13
193,Maruti Ertiga ZDI,Mumbai,2016,33000,First,25.47,1248.0,88.5,7.0,8.5,False,False,True,False,False,True,9
195,Honda Amaze S i-Dtech,Kolkata,2014,52000,First,25.8,1498.0,98.6,5.0,3.5,False,False,True,False,False,True,11
196,Hyundai i10 Magna,Jaipur,2015,43571,First,20.36,1197.0,78.9,5.0,3.55,False,True,True,False,True,True,10
197,Honda Amaze S i-Dtech,Kolkata,2013,50000,First,25.8,1498.0,98.6,5.0,3.25,False,False,True,False,False,True,12
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,24.3,1248.0,88.5,5.0,9.0,False,False,True,False,False,True,9
207,Toyota Etios Liva GD SP,Delhi,2014,104000,First,23.59,1364.0,67.06,5.0,3.0,False,False,True,False,False,True,11
210,Honda Amaze S Diesel,Kolkata,2013,45000,First,27.4,1498.0,98.6,5.0,3.25,False,False,True,False,False,True,12
211,Hyundai Verna 1.6 SX,Jaipur,2012,117837,Second,22.32,1582.0,126.32,5.0,4.75,False,False,True,False,False,True,13
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,First,20.46,1461.0,83.8,5.0,5.95,False,False,True,False,False,True,11
214,Maruti Wagon R AMT VXI,Mumbai,2016,8500,First,20.51,998.0,67.0,5.0,4.22,False,True,False,False,True,False,9
221,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Second,25.8,1498.0,98.6,5.0,3.5,False,False,True,False,False,True,11
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,First,21.03,1461.0,65.0,5.0,3.7,False,False,True,False,False,True,12
225,Maruti Wagon R VXI,Kolkata,2013,32000,First,22.5,998.0,67.04,5.0,2.65,False,True,True,False,True,True,12
232,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,First,22.07,1199.0,73.9,5.0,3.6,False,False,True,False,False,True,13
233,Maruti Swift ZDi,Hyderabad,2016,64000,First,22.9,1248.0,74.0,5.0,6.8,False,False,True,False,False,True,9
240,Chevrolet Beat Diesel LT,Mumbai,2013,74000,First,25.44,936.0,57.6,5.0,2.65,False,False,True,False,False,True,12
241,Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,56847,First,22.54,1396.0,88.73,5.0,7.2,False,False,True,False,False,True,10
243,Maruti Ertiga VDI,Chennai,2013,52000,First,20.77,1248.0,88.76,7.0,6.9,False,False,True,False,False,True,12
248,Hyundai Grand i10 CRDi Era,Mumbai,2017,33000,First,24.0,1120.0,70.0,5.0,4.75,False,False,True,False,False,True,8
249,Maruti Ciaz 1.3 Alpha,Chennai,2016,34000,First,28.09,1248.0,88.5,5.0,8.45,False,False,True,False,False,True,9
250,Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,55000,First,20.5,1598.0,103.6,5.0,3.5,False,False,True,False,False,True,13
258,Maruti Swift VXI BSIV,Coimbatore,2017,27872,Second,20.4,1197.0,81.8,5.0,5.95,False,True,True,False,True,True,8
260,Maruti Swift VDI,Pune,2012,120000,First,22.9,1248.0,74.0,5.0,3.75,False,False,True,False,False,True,13
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,First,22.0,1582.0,126.2,5.0,2.6,False,False,True,False,False,True,17
266,Maruti Ritz ZDi,Hyderabad,2014,88500,First,23.2,1248.0,73.94,5.0,4.35,False,False,True,False,False,True,11
272,Hyundai i10 Sportz,Bangalore,2010,36000,Second,20.36,1197.0,78.9,5.0,3.25,False,True,True,False,True,True,15
275,Maruti Swift VDI,Hyderabad,2018,31025,First,28.4,1248.0,74.0,5.0,7.15,False,False,True,False,False,True,7
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,First,22.95,1248.0,74.0,5.0,3.75,False,False,True,False,False,True,8
279,Maruti Swift Dzire ZDI,Jaipur,2012,73000,First,23.4,1248.0,74.0,5.0,4.35,False,False,True,False,False,True,13
280,Maruti Alto 800 LXI,Kochi,2016,32227,First,22.74,796.0,47.3,5.0,3.26,False,True,True,False,True,True,9
286,Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,46000,First,21.9,1396.0,88.8,5.0,3.11,False,False,True,False,False,True,12
288,Volkswagen Vento Diesel Highline,Hyderabad,2011,69000,First,20.54,1598.0,103.6,5.0,4.7,False,False,True,False,False,True,14
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,First,22.95,1248.0,74.0,5.0,5.25,False,False,True,False,False,True,7
295,Hyundai i10 Magna 1.2,Hyderabad,2010,74000,First,20.36,1197.0,78.9,5.0,3.1,False,True,True,False,True,True,15
297,Hyundai i10 Magna 1.2 iTech SE,Pune,2012,45275,First,20.36,1197.0,78.9,5.0,2.8,False,True,True,False,True,True,13
302,Maruti Alto K10 LXI,Hyderabad,2011,70000,First,20.92,998.0,67.1,5.0,2.1,False,True,True,False,True,True,14
309,Maruti Celerio VXI AT,Hyderabad,2014,77815,First,23.1,998.0,67.04,5.0,4.25,False,True,False,False,True,False,11
312,Volkswagen Vento Diesel Trendline,Hyderabad,2011,108626,First,20.54,1598.0,103.6,5.0,3.65,False,False,True,False,False,True,14
329,Hyundai i20 1.4 CRDi Asta,Pune,2012,83000,First,23.0,1396.0,90.0,5.0,5.5,False,False,True,False,False,True,13
332,Maruti Swift VDI BSIV,Hyderabad,2015,76496,First,25.2,1248.0,74.0,5.0,6.15,False,False,True,False,False,True,10
338,Tata Manza ELAN Quadrajet BS IV,Pune,2012,73000,First,21.12,1248.0,88.8,5.0,3.4,False,False,True,False,False,True,13
343,Maruti Vitara Brezza LDi,Chennai,2016,45000,First,24.3,1248.0,88.5,5.0,7.15,False,False,True,False,False,True,9
346,Honda Amaze S i-Dtech,Kolkata,2013,57000,First,25.8,1498.0,98.6,5.0,3.45,False,False,True,False,False,True,12
347,Hyundai EON D Lite Plus,Coimbatore,2016,27904,First,21.1,814.0,55.2,5.0,3.55,False,True,True,False,True,True,9
348,BMW 3 Series Luxury Line,Kochi,2015,30717,Second,21.76,1995.0,190.0,5.0,25.99,False,False,False,False,False,False,10
349,Hyundai Verna 1.6 SX,Bangalore,2012,80000,First,22.32,1582.0,126.32,5.0,5.25,False,False,True,False,False,True,13
350,Tata Manza Club Class Quadrajet90 LS,Ahmedabad,2013,47304,First,21.02,1248.0,88.8,5.0,2.9,False,False,True,False,False,True,12
352,Maruti Alto K10 VXI,Pune,2017,30000,First,24.07,998.0,67.1,5.0,3.75,False,True,True,False,True,True,8
353,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,68000,First,22.7,1498.0,89.84,5.0,6.75,False,False,True,False,False,True,11
358,Hyundai i10 Magna 1.2,Chennai,2009,620000,First,20.36,1197.0,78.9,5.0,2.7,False,True,True,False,True,True,16
359,Maruti Swift LDI,Delhi,2013,70000,First,22.9,1248.0,74.0,5.0,3.5,False,False,True,False,False,True,12
361,Nissan Micra Diesel XV,Chennai,2011,83000,First,23.08,1461.0,63.1,5.0,2.75,False,False,True,False,False,True,14
362,Maruti Swift Dzire Tour LDI,Mumbai,2015,130000,First,23.4,1248.0,74.0,5.0,3.25,False,False,True,False,False,True,10
366,Toyota Etios GD,Kolkata,2014,45000,First,23.59,1364.0,67.05,5.0,3.25,False,False,True,False,False,True,11
367,Maruti Alto 800 2016-2019 LXI,Kolkata,2018,26200,First,24.7,796.0,47.3,5.0,2.9,False,True,True,False,True,True,7
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,First,24.3,1248.0,88.5,5.0,9.49,False,False,True,False,False,True,8
376,Renault Duster 85PS Diesel RxL,Chennai,2015,93000,Second,20.45,1461.0,83.8,5.0,7.1,False,False,True,False,False,True,10
377,Toyota Corolla Altis D-4D GL,Mumbai,2017,5900,First,21.43,1364.0,87.2,5.0,16.5,False,False,True,False,False,True,8
379,Maruti Ritz VDi,Hyderabad,2010,68000,Second,21.1,1248.0,73.9,5.0,3.2,False,False,True,False,False,True,15
381,Hyundai Xcent 1.1 CRDi Base,Kochi,2015,74310,First,24.4,1120.0,71.0,5.0,4.0,False,False,True,False,False,True,10
393,Hyundai EON Magna Plus,Chennai,2014,37000,First,21.1,814.0,55.2,5.0,3.25,False,True,True,False,True,True,11
394,Maruti Wagon R VXI BS IV,Kolkata,2014,17400,First,20.51,998.0,67.04,5.0,3.1,False,True,True,False,True,True,11
395,Maruti Ritz LDi,Coimbatore,2011,90207,First,21.1,1248.0,73.9,5.0,3.91,False,False,True,False,False,True,14
398,Audi A3 35 TDI Attraction,Chennai,2014,79271,First,20.38,1968.0,143.0,5.0,16.5,False,False,False,False,False,False,11
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,First,21.76,1995.0,190.0,5.0,25.5,False,False,False,False,False,False,10
419,Hyundai EON Magna Plus,Kolkata,2015,20800,Second,21.1,814.0,55.2,5.0,2.25,False,True,True,False,True,True,10
429,Toyota Etios VD,Bangalore,2013,37000,First,23.59,1364.0,67.04,5.0,5.75,False,False,True,False,False,True,12
431,Maruti Baleno Alpha Automatic,Coimbatore,2018,12831,First,21.4,1197.0,83.1,5.0,9.89,False,True,False,False,True,False,7
433,Hyundai EON Era Plus,Kochi,2018,13102,First,21.1,814.0,55.2,5.0,4.06,False,True,True,False,True,True,7
434,Renault Captur 1.5 Diesel RXL,Coimbatore,2019,24950,First,20.37,1461.0,108.45,5.0,13.37,False,False,True,False,False,True,6
436,Maruti Alto 800 LXI,Kochi,2016,34267,First,22.74,796.0,47.3,5.0,3.74,False,True,True,False,True,True,9
444,Hyundai EON D Lite,Hyderabad,2014,20600,First,21.1,814.0,55.2,5.0,2.6,False,True,True,False,True,True,11
448,Tata Indica Vista Quadrajet LS,Hyderabad,2014,67000,First,22.3,1248.0,74.0,5.0,2.5,False,False,True,False,False,True,11
455,Maruti Celerio LDi,Hyderabad,2016,80219,First,27.62,793.0,47.0,5.0,3.5,False,False,True,False,False,True,9
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,First,25.1,1248.0,88.5,5.0,8.92,False,False,True,False,False,True,7
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,First,21.76,1995.0,190.0,5.0,36.5,False,False,False,False,False,False,9
462,Hyundai Xcent 1.1 CRDi S Celebration Edition,Pune,2016,51000,First,24.4,1120.0,71.0,5.0,5.25,False,False,True,False,False,True,9
463,Ford Ecosport 1.5 DV5 MT Titanium,Delhi,2014,31465,First,22.7,1498.0,89.84,5.0,6.5,False,False,True,False,False,True,11
465,Hyundai Grand i10 CRDi Magna,Kolkata,2017,14000,First,24.0,1120.0,70.0,5.0,4.6,False,False,True,False,False,True,8
466,Tata Manza Aqua Quadrajet BS IV,Ahmedabad,2013,47000,First,21.12,1248.0,88.8,5.0,2.95,False,False,True,False,False,True,12
470,Maruti Ciaz 1.3 S,Coimbatore,2017,25142,First,28.09,1248.0,88.5,5.0,8.26,False,False,True,False,False,True,8
484,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,52000,First,22.07,1199.0,73.9,5.0,2.75,False,False,True,False,False,True,13
485,Maruti Ritz VDi,Jaipur,2011,91000,First,23.2,1248.0,73.94,5.0,3.0,False,False,True,False,False,True,14
486,Nissan Micra Diesel XV Premium,Pune,2013,60000,First,23.08,1461.0,63.1,5.0,3.55,False,False,True,False,False,True,12
487,Hyundai Verna 1.6 SX,Kolkata,2013,37873,First,22.32,1582.0,126.32,5.0,4.8,False,False,True,False,False,True,12
504,Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,79000,First,22.7,1498.0,89.84,5.0,6.25,False,False,True,False,False,True,11
514,Skoda Rapid 1.6 TDI Ambition,Pune,2013,64186,First,20.5,1598.0,103.5,5.0,3.76,False,False,True,False,False,True,12
518,Maruti Wagon R LXI,Ahmedabad,2012,30000,First,22.5,998.0,67.04,5.0,3.3,False,True,True,False,True,True,13
520,Maruti Celerio VXI,Jaipur,2014,56000,First,23.1,998.0,67.04,5.0,2.79,False,True,True,False,True,True,11
523,Tata Nano Twist XT,Ahmedabad,2014,18000,Second,25.4,624.0,37.5,4.0,1.0,False,True,True,False,True,True,11
526,Maruti Swift VXI,Kochi,2019,20667,First,22.0,1197.0,81.8,5.0,6.37,False,True,True,False,True,True,6
528,Maruti Swift VXI Optional,Kochi,2017,31696,First,20.4,1197.0,81.8,5.0,5.75,False,True,True,False,True,True,8
542,Hyundai i20 Asta 1.4 CRDi,Delhi,2014,43900,First,22.54,1396.0,88.73,5.0,6.75,False,False,True,False,False,True,11
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,First,20.68,1995.0,190.0,5.0,29.4,False,False,False,False,False,False,8
551,Maruti Ciaz RS ZDi Plus SHVS,Delhi,2016,41000,First,28.09,1248.0,88.5,5.0,9.5,False,False,True,False,False,True,9
555,Maruti Ertiga ZDI,Pune,2013,105000,Second,25.47,1248.0,88.5,7.0,6.75,False,False,True,False,False,True,12
556,Toyota Etios Liva GD,Chennai,2013,179000,First,23.59,1364.0,67.04,5.0,3.8,False,False,True,False,False,True,12
558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,First,21.13,1498.0,108.4,5.0,10.5,False,False,True,False,False,True,8
559,Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,50000,First,20.14,1498.0,88.8,5.0,6.2,False,False,True,False,False,True,10
564,Honda Jazz 1.5 S i DTEC,Jaipur,2015,63642,First,27.3,1498.0,98.6,5.0,5.65,False,False,True,False,False,True,10
565,Honda Amaze VX i-DTEC,Kochi,2015,62550,First,25.8,1498.0,98.6,5.0,5.6,False,False,True,False,False,True,10
567,Maruti Swift Dzire VDI,Coimbatore,2016,38461,First,26.59,1248.0,74.0,5.0,7.39,False,False,True,False,False,True,9
572,Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,77240,First,22.32,1582.0,126.32,5.0,8.31,False,False,False,False,False,False,6
574,Maruti Swift VDI,Chennai,2014,35000,First,22.9,1248.0,74.0,5.0,5.25,False,False,True,False,False,True,11
578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,First,20.14,1498.0,88.0,5.0,8.12,False,False,True,False,False,True,7
580,Honda City i DTEC VX Option,Coimbatore,2017,45366,First,25.1,1498.0,98.6,5.0,10.88,False,False,True,False,False,True,8
587,Maruti Ertiga VDI,Kolkata,2013,53073,First,20.77,1248.0,88.76,7.0,5.95,False,False,True,False,False,True,12
590,Renault Duster 85PS Diesel RxL,Ahmedabad,2014,55000,First,20.45,1461.0,83.8,5.0,4.75,False,False,True,False,False,True,11
595,Maruti Swift LDI Optional,Kochi,2018,52010,First,25.2,1248.0,74.0,5.0,6.2,False,False,True,False,False,True,7
604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,First,21.5,1498.0,108.5,5.0,9.45,False,False,False,False,False,False,9
606,Nissan Terrano XL 85 PS,Hyderabad,2014,59962,First,20.45,1461.0,83.8,5.0,6.9,False,False,True,False,False,True,11
607,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,72000,Second,22.32,1582.0,126.32,5.0,5.8,False,False,True,False,False,True,13
610,Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,First,23.9,1582.0,126.2,5.0,10.7,False,False,True,False,False,True,8
616,Hyundai EON Era Plus,Hyderabad,2015,68764,First,21.1,814.0,55.2,5.0,2.9,False,True,True,False,True,True,10
617,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,First,22.07,1199.0,73.9,5.0,2.9,False,False,True,False,False,True,12
618,Maruti Vitara Brezza ZDi,Pune,2016,21558,First,24.3,1248.0,88.5,5.0,8.9,False,False,True,False,False,True,9
620,Hyundai EON Sportz,Coimbatore,2016,14077,First,21.1,814.0,55.2,5.0,3.95,False,True,True,False,True,True,9
627,Hyundai i20 Asta 1.4 CRDi,Delhi,2014,67407,First,21.27,1396.0,88.76,5.0,4.65,False,False,True,False,False,True,11
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,First,20.7,1496.0,113.98,5.0,29.5,False,False,False,False,False,False,9
636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,First,21.9,1498.0,98.6,7.0,10.79,False,False,True,False,False,True,8
639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,First,20.89,1197.0,81.8,5.0,5.7,False,True,True,False,True,True,8
642,Hyundai i10 Sportz,Kolkata,2013,25000,First,20.36,1197.0,78.9,5.0,2.65,False,True,True,False,True,True,12
643,Hyundai Verna 1.6 CRDI,Coimbatore,2016,37882,First,22.32,1582.0,126.3,5.0,9.19,False,False,True,False,False,True,9
650,Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,36381,First,28.09,1248.0,88.5,5.0,9.75,False,False,True,False,False,True,8
654,Maruti Alto K10 VXI,Bangalore,2011,64357,First,24.07,998.0,67.1,5.0,2.75,False,True,True,False,True,True,14
656,Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,First,21.9,1396.0,90.0,5.0,2.8,False,False,True,False,False,True,16
661,Hyundai Grand i10 CRDi Sportz,Jaipur,2014,64000,First,24.0,1120.0,70.0,5.0,4.15,False,False,True,False,False,True,11
665,Maruti Ritz VDi,Pune,2015,65000,Second,23.2,1248.0,73.94,5.0,3.27,False,False,True,False,False,True,10
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,First,24.3,1248.0,88.5,5.0,11.31,False,False,True,False,False,True,8
670,Maruti Ciaz ZXi,Pune,2014,49500,First,20.73,1373.0,91.1,5.0,6.0,False,True,True,False,True,True,11
672,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,62000,First,22.07,1199.0,73.9,5.0,4.65,False,False,True,False,False,True,13
673,Maruti Ertiga ZDI,Hyderabad,2015,59000,First,20.77,1248.0,88.8,7.0,7.5,False,False,True,False,False,True,10
674,Maruti Swift Dzire VDI,Jaipur,2015,60000,First,26.59,1248.0,74.0,5.0,6.25,False,False,True,False,False,True,10
678,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,75200,First,22.32,1582.0,126.32,5.0,5.25,False,False,True,False,False,True,13
679,Maruti Ciaz VDI SHVS,Kochi,2017,41217,First,28.09,1248.0,88.5,5.0,7.4,False,False,True,False,False,True,8
683,Honda Amaze EX i-Dtech,Bangalore,2013,33800,Second,25.8,1498.0,98.6,5.0,4.7,False,False,True,False,False,True,12
684,Hyundai i20 Asta 1.4 CRDi,Hyderabad,2015,86157,First,22.54,1396.0,88.73,5.0,6.5,False,False,True,False,False,True,10
685,Maruti Ritz VDi,Hyderabad,2012,146824,First,21.1,1248.0,73.9,5.0,3.55,False,False,True,False,False,True,13
